id,question,answerable,generated_answer,expected_answer,keywords,keyword_score,generation_correct
1,What is the main focus of Chapter 1?,True,The main focus of Chapter 1 is Research and Development.,"Chapter 1 examines AI research and development trends, including publications, patents, notable AI systems, model training and inference costs, hardware, conferences, and open-source AI software.","research, development, publications, patents",0.5,False
2,Which sector produced nearly 90% of notable AI models in 2024?,True,Industry,Industry produced nearly 90% of notable AI models in 2024.,"industry, 90%",0.5,False
3,Which country led AI publication totals in 2023?,True,China,"China led, accounting for 23.2% of AI publications.","china, 23.2%",0.5,False
4,How did the number of AI publications change from 2013 to 2023?,True,"The number of AI publications more than doubled, rising from approximately 102,000 in 2013 to more than 242,000 in 2023.","It rose from approximately 102,000 to more than 242,000, more than doubling.","102,000, 242,000, doubling",0.67,False
5,What share of computer-science publications were AI-related in 2023?,True,I don't know based on the provided document.,About 41.8% were AI-related.,41.8%,0.0,False
6,Which country led in highly influential AI research?,True,China,The United States led in top-100-cited AI publications.,"united states, top-100, cited",0.0,False
7,How many notable AI models did U.S.-based institutions produce in 2024?,True,40,40 notable AI models.,40,1.0,True
8,How many notable AI models did China produce in 2024?,True,15,15 notable AI models.,15,1.0,True
9,How fast does training compute for notable AI models double?,True,Roughly every five months.,Approximately every five months.,five months,1.0,True
10,How fast do LLM training datasets double?,True,"According to Epoch AI, LLM training datasets double in size approximately every eight months.",Approximately every eight months.,eight months,1.0,True
11,How much did GPT-3.5-level inference cost in Nov. 2022?,True,$20 per million tokens,$20 per million tokens.,"$20, million tokens",1.0,True
12,What was the comparable inference cost by Oct. 2024?,True,$0.07 per million tokens,$0.07 per million tokens.,"$0.07, million tokens",1.0,True
13,By how much did that inference cost fall?,True,"The inference cost for an AI model scoring the equivalent of GPT-3.5 on MMLU dropped from $20 per million tokens in November 2022 to just $0.07 per million tokens by October 2024—a more than 280-fold reduction. Additionally, for models scoring above 50% on GPQA, inference costs declined from $15 per million tokens in May 2024 to $0.12 per million tokens by December 2024. Epoch AI also estimates that LLM inference costs have been falling anywhere from nine to 900 times per year, depending on the task.",More than 280-fold.,280-fold,1.0,True
14,How many AI patents were granted in 2010?,True,"3,833","3,833.","3,833",1.0,True
15,How many AI patents were granted in 2023?,True,"122,511","122,511.","122,511",1.0,True
16,What was the increase in AI patents in the last year covered?,True,29.6%,29.6%.,29.6%,1.0,True
17,Which region accounted for most granted AI patents in 2023?,True,East Asia and the Pacific,"East Asia and the Pacific, with 82.4%.","east asia, pacific, 82.4%",0.67,False
18,What share of granted AI patents came from China in 2023?,True,69.7%,69.7%.,69.7%,1.0,True
19,"Which country had the most AI patents per 100,000 people in 2023?",True,South Korea,"South Korea, with 17.3 per 100,000 inhabitants.","south korea, 17.3",0.5,False
20,"Which country followed South Korea in patents per 100,000 people?",True,I don't know based on the provided document.,"Luxembourg, with 15.3 per 100,000 inhabitants.","luxembourg, 15.3",0.0,False
21,Which organization led notable AI model production in 2024?,True,"Based on the provided document, the organizations leading in the production of notable AI models in 2024 were Google (7), OpenAI (7 models), and Alibaba (6).",Google and OpenAI were tied at seven models each.,"google, openai, seven",1.0,True
22,Which organization was third among 2024 notable model producers?,True,Alibaba,"Alibaba, with six models.","alibaba, six",0.5,False
23,Which organization led cumulative notable model production since 2014?,True,Google,"Google, with 187 notable models.","google, 187",0.5,False
24,What are API-access models?,True,API access models are machine learning models that allow users to interact with them via queries without providing direct access to their underlying weights.,Models that users can interact with through queries without direct access to the underlying model weights.,"queries, underlying, model weights",0.67,False
25,What was the most common notable-model access type in 2024?,True,API access,"API access, accounting for 32.8% of models.","api access, 32.8%",0.5,False
